Name,Bibcode,Type,ET,P,dPdt,Pc,BibcodeP,Solver,q,QT,i,a,Omega,f,r1p,r2p,T1,T2,M1,M2,R1,R2,L1,L2,L3,d,Age,Spots
1SWASP J003033.05+574347.6,2020AJ....159..189L,W,0,0.226618,-0.014256,,,WD,0.482,PH,82.8,1.65,2.773385,0.235336,0.429129,0.309254,5067,5246,0.79,0.38,0.75,0.55,0.17,0.1,0,,10.516,1
1SWASP J011732.10+525204.9,2018NewA...59....8S,A,0,0.22396,,,,WD,0.51,PH,76,1.607,2.895,0,0.412617,0.301325,4830,3700,0.79,0.32,0.86,0.45,0.389,0.369,0,,8.404,1
1SWASP J015100.23-100524.2,2015AJ....150..117Q,W,0,0.2145001,,,,WD,0.32,PH,79.4,,2.48224,0.13981,0.456387,0.271819,4366,4500,,,,,,,0,,,1
1SWASP J024148.62+372848.3,2015NewA...41...22J,W,0,0.21975128,,,,WD,0.913,PH,68.7,,3.491376,0.23,0.379122,0.364007,3877,3900,,,,,,,1,,,1
1SWASP J030749.87-365201.7,2018Ap&SS.363...15L,W,0,0.22667122,,,,WD,0.439,PH,78.2,,2.755746,0.000309,0.42515,0.289596,4697,4750,,,,,,,0,,,1
1SWASP J031700.67+190839.6,2020AJ....159..189L,W,0,0.2256396,-0.006912,,,WD,0.258,PH,79.7,1.53,2.364363,0.041742,0.46928,0.251921,4791,4968,0.75,0.19,0.77,0.41,0.21,0.07,0,,,0
1SWASP J034501.24+493659.9,2019AJ....157...73K,W,0,0.376532,,,,PHOEBE,0.421,SP,60.3,2.135,2.656056,0.249087,0.440298,0.298638,6494,6514,0.654,0.275,1.012,0.693,1.632,0.775,0,,3.202,1
1SWASP J044132.96+440613.7,2018NewA...62...41K,A,1,0.228155,,,,PHOEBE,0.638,PH,87.67,1.647,3.0417,0.245336,0.408001,0.333663,4003,3858,0.703,0.448,0.725,0.597,0.121,0.071,0,,,1
1SWASP J050904.45-074144.4,2019MNRAS.485.4588L,A,1,0.229575,,,,WD,0.343,PH,82.7,,2.528,0.148331,0.451391,0.277526,5126,5056,,,,,,,1,,,1
1SWASP J052926.88+461147.5,2018NewA...62...41K,A,1,0.2266422,,,,PHOEBE,0.412,PH,89.9,1.632,2.643067,0.237,0.44128,0.296343,5077,5071,0.804,0.331,0.775,0.524,0.358,0.163,0,,,1
1SWASP J064501.21+342154.9,2016AJ....152...57D,W,1,0.2486159,,,,DC,0.48,PH,88.8,1.7,2.7913,0.159479,0.425598,0.30481,4590,4720,0.7,0.3,0.76,0.55,0.23,0.135,0,,9.858,1
1SWASP J074658.62+224448.5,2018PASA...35....8K,W,1,0.2208496,,,,PHOEBE,0.352,PH,81.7,1.57,2.46831,0.508825,0.465318,0.296956,4543,4717,0.79,0.28,0.8,0.52,0.241,0.118,0,,11.195,0
1SWASP J075102.16+342405.3,2015PASJ...67..118J,A,0,0.20917224,0.081043,,,WD,0.7,PH,76,,2.857,0.961812,0.45069,0.394008,3950,3902,,,,,,,1,,,0
1SWASP J080150.03+471433.8,2015MNRAS.448.2890D,W,1,0.217513,,,,PHOEBE,0.432,PH,83.8,1.541,2.707,0.13633,0.432799,0.295104,4685,4696,0.72,0.32,0.71,0.49,0.23,0.11,1,,9.491,0
1SWASP J093010.78+533859.5,2015A&A...578A.103L,A,1,0.227713,,,,PHOEBE,0.397,SP,86,1.668,2.63,0.173211,0.441155,0.29018,4700,4700,0.86,0.34,0.79,0.52,0.27,0.12,1,,,1
1SWASP J104942.44+141021.5,2020AJ....159..189L,W,0,0.229799,0.033091,,,WD,0.69,PH,59.6,1.66,3.168047,0.145665,0.395827,0.334254,4457,4560,0.69,0.48,0.7,0.6,0.23,0.19,1,,5.194,0
1SWASP J133105.91+121538.0,2014NewA...28...85E,A,0,0.21801,,,,WD,0.828,PH,77.6,1.769,3.348,0.251541,0.388181,0.356869,4977,4664,0.835,0.728,0.93,0.818,1.249,0.744,0,,,1
1SWASP J133417.80+394314.4,2018AJ....156...88L,W,0,0.22738,,,,WD,0.185,PH,67.94,2.63,2.170185,0.213208,0.498883,0.234643,4775,4872,4,0.74,1.42,0.67,0.94,0.23,0,,,0
1SWASP J140533.33+114639.1,2018RAA....18...30Z,W,0,0.22512639,0.018058,,,WD,0.646,PH,68.62,,3.116488,0.079646,0.397374,0.32472,4523,4680,,,,,,,0,,,1
1SWASP J150822.80-054236.9,2014A&A...563A..34L,A,1,0.2600604,,,,PHOEBE,0.51,SP,90,2.01,2.845,0.164556,0.421059,0.310057,4500,4500,1.07,0.55,0.9,0.68,0.298,0.17,0,,,1
