Experiment,Keywords_Count,Total_Papers,Coverage_%,Coverage_per_Paper,Efficiency_Rank
Exact Abstract,10,158,13.20754716981132,0.08359207069500836,1
Exact Abstract,5,669,37.264150943396224,0.055701271963223054,2
Exact Full-Text,20,930,46.69811320754717,0.0502130249543518,3
Exact Abstract,4,1152,46.22641509433962,0.0401270964360587,4
Exact Abstract,3,2040,62.264150943396224,0.030521642619311874,5
Exact Full-Text,15,3235,67.9245283018868,0.02099676299903765,6
Exact Full-Text,10,4417,74.05660377358491,0.016766267551185172,7
Exact Full-Text,7,7448,80.18867924528303,0.01076647143465132,8
Exact Full-Text,5,9020,83.01886792452831,0.009203865623561897,9
Exact Abstract,2,28638,75.94339622641509,0.002651840080536877,10
