bibcode,title,year,seeds_matched,avg_score,pdf_file,fallback_url
2003A&A...411L...1W,The INTEGRAL mission,2003,2,174.716742,2003A&A...411L...1W.pdf,
2024A&A...687A..48T,TOI-4336 A b: A temperate sub-Neptune ripe for atmospheric characterization in a nearby triple M-dwarf system,2024,2,125.89021,2024A&A...687A..48T.pdf,
2003A&A...411L.223G,The INTEGRAL/IBIS scientific data analysis,2003,2,120.327418,2003A&A...411L.223G.pdf,
2003A&A...411L.131U,IBIS: The Imager on-board INTEGRAL,2003,2,118.922763,2003A&A...411L.131U.pdf,
2003A&A...411L.141L,ISGRI: The INTEGRAL Soft Gamma-Ray Imager,2003,2,117.19242,2003A&A...411L.141L.pdf,
2007ApJS..170..175B,The Third IBIS/ISGRI Soft Gamma-Ray Survey Catalog,2007,2,115.97254,,https://doi.org/10.1086%2F513148
2010ApJS..186....1B,The Fourth IBIS/ISGRI Soft Gamma-ray Survey Catalog,2010,2,115.718492,2010ApJS..186....1B.pdf,
2006ApJ...636..765B,The Second IBIS/ISGRI Soft Gamma-Ray Survey Catalog,2006,2,115.207705,,https://doi.org/10.1086%2F498090
2003A&A...411L..31K,"Absolute timing with IBIS, SPI and JEM-X aboard INTEGRAL.  Crab main-pulse arrival times in radio, X-rays and high-energy gamma -rays",2003,2,112.868105,2003A&A...411L..31K.pdf,
2016ApJS..223...15B,The IBIS Soft Gamma-Ray Sky after 1000 Integral Orbits,2016,2,112.06506,2016ApJS..223...15B.pdf,
